Plant_ID,Machine_Type,Quality_Audit,Year,Month,Week,Weekly_Production
31,1,0,2012,1,1,15780
31,2,0,2012,1,1,15583
31,3,0,2012,1,1,15385
31,4,0,2012,1,1,15188
31,5,0,2012,1,1,14991
31,6,0,2012,1,1,14793
31,7,0,2012,1,1,14596
31,8,0,2012,1,1,14398
31,9,0,2012,1,1,14201
31,10,0,2012,1,1,14003
31,11,0,2012,1,1,13806
31,12,0,2012,1,1,13608
31,13,0,2012,1,1,13411
31,14,0,2012,1,1,13214
31,16,0,2012,1,1,12819
31,17,0,2012,1,1,12621
31,18,0,2012,1,1,12424
31,19,0,2012,1,1,12226
31,20,0,2012,1,1,12029
31,21,0,2012,1,1,11831
31,22,0,2012,1,1,11634
31,23,0,2012,1,1,11437
31,24,0,2012,1,1,11239
31,25,0,2012,1,1,11042
31,26,0,2012,1,1,10844
31,27,0,2012,1,1,10647
31,28,0,2012,1,1,10449
31,29,0,2012,1,1,10252
31,30,0,2012,1,1,10054
31,31,0,2012,1,1,9857
31,32,0,2012,1,1,9660
31,33,0,2012,1,1,9462
31,34,0,2012,1,1,9265
31,35,0,2012,1,1,9067
31,36,0,2012,1,1,8870
31,37,0,2012,1,1,8672
31,38,0,2012,1,1,8475
31,40,0,2012,1,1,8080
31,41,0,2012,1,1,7883
31,42,0,2012,1,1,7685
31,44,0,2012,1,1,7290
31,46,0,2012,1,1,6895
31,49,0,2012,1,1,6303
31,52,0,2012,1,1,5711
31,54,0,2012,1,1,5316
31,55,0,2012,1,1,5118
31,56,0,2012,1,1,4921
31,58,0,2012,1,1,4526
31,59,0,2012,1,1,4576
31,60,0,2012,1,1,5286
31,67,0,2012,1,1,10357
31,71,0,2012,1,1,13254
31,72,0,2012,1,1,13979
31,74,0,2012,1,1,15427
31,79,0,2012,1,1,19049
31,80,0,2012,1,1,19774
31,81,0,2012,1,1,20498
31,82,0,2012,1,1,21222
31,83,0,2012,1,1,21947
31,85,0,2012,1,1,23396
31,87,0,2012,1,1,24844
31,90,0,2012,1,1,27017
31,91,0,2012,1,1,27742
31,92,0,2012,1,1,28466
31,93,0,2012,1,1,29191
31,94,0,2012,1,1,29915
31,95,0,2012,1,1,30639
31,96,0,2012,1,1,31364
31,97,0,2012,1,1,32088
31,98,0,2012,1,1,32813
32,1,0,2012,1,1,15748
32,2,0,2012,1,1,15550
32,3,0,2012,1,1,15353
32,4,0,2012,1,1,15155
32,5,0,2012,1,1,14958
32,6,0,2012,1,1,14760
32,7,0,2012,1,1,14563
32,8,0,2012,1,1,14365
32,9,0,2012,1,1,14168
32,10,0,2012,1,1,13971
32,11,0,2012,1,1,13773
32,12,0,2012,1,1,13576
32,13,0,2012,1,1,13378
32,14,0,2012,1,1,13181
32,16,0,2012,1,1,12786
32,17,0,2012,1,1,12588
32,18,0,2012,1,1,12391
32,19,0,2012,1,1,12194
32,20,0,2012,1,1,11996
32,21,0,2012,1,1,11799
32,22,0,2012,1,1,11601
32,23,0,2012,1,1,11404
32,24,0,2012,1,1,11206
32,25,0,2012,1,1,11009
32,26,0,2012,1,1,10811
32,27,0,2012,1,1,10614
32,28,0,2012,1,1,10417
32,29,0,2012,1,1,10219
32,30,0,2012,1,1,10022
32,31,0,2012,1,1,9824
32,32,0,2012,1,1,9627
32,33,0,2012,1,1,9429
32,34,0,2012,1,1,9232
32,35,0,2012,1,1,9034
32,36,0,2012,1,1,8837
32,37,0,2012,1,1,8640
32,38,0,2012,1,1,8442
32,40,0,2012,1,1,8047
32,41,0,2012,1,1,7850
32,42,0,2012,1,1,7652
32,44,0,2012,1,1,7257
32,46,0,2012,1,1,6863
32,49,0,2012,1,1,6270
32,52,0,2012,1,1,5678
32,54,0,2012,1,1,5283
32,55,0,2012,1,1,5085
32,56,0,2012,1,1,4888
32,58,0,2012,1,1,4493
32,59,0,2012,1,1,4339
32,60,0,2012,1,1,4914
32,67,0,2012,1,1,9984
32,71,0,2012,1,1,12882
32,72,0,2012,1,1,13606
32,74,0,2012,1,1,15055
32,79,0,2012,1,1,18677
32,80,0,2012,1,1,19401
32,81,0,2012,1,1,20126
32,82,0,2012,1,1,20850
32,83,0,2012,1,1,21574
32,85,0,2012,1,1,23023
32,87,0,2012,1,1,24472
32,90,0,2012,1,1,26645
32,91,0,2012,1,1,27369
32,92,0,2012,1,1,28094
32,93,0,2012,1,1,28818
32,94,0,2012,1,1,29543
32,95,0,2012,1,1,30267
32,96,0,2012,1,1,30991
32,97,0,2012,1,1,31716
32,98,0,2012,1,1,32440
33,1,0,2012,1,1,15715
33,2,0,2012,1,1,15517
33,3,0,2012,1,1,15320
33,4,0,2012,1,1,15122
33,5,0,2012,1,1,14925
33,7,0,2012,1,1,14530
33,8,0,2012,1,1,14333
33,9,0,2012,1,1,14135
33,10,0,2012,1,1,13938
33,11,0,2012,1,1,13740
33,12,0,2012,1,1,13543
33,13,0,2012,1,1,13345
33,14,0,2012,1,1,13148
33,16,0,2012,1,1,12753
33,17,0,2012,1,1,12556
33,18,0,2012,1,1,12358
33,20,0,2012,1,1,11963
33,21,0,2012,1,1,11766
33,22,0,2012,1,1,11568
